state,year,month,dn,count,avg_brightness,median_frp,max_day_count,max_day_date,pct_night
California,2019,10,A,990,337.7638383838384,42.650000000000006,,,0.3373737373737374
California,2019,11,A,532,322.4838345864662,20.05,,,0.13909774436090225
California,2019,12,A,81,316.60123456790126,16.7,,,0.06172839506172839
California,2020,1,A,174,324.11724137931037,24.950000000000003,,,0.005747126436781609
California,2020,2,A,610,319.5852459016393,17.7,,,0.014754098360655738
California,2020,3,A,480,321.403125,17.1,,,0.010416666666666666
California,2020,4,A,227,325.1396475770925,21.2,,,0.04405286343612335
California,2020,5,A,133,328.4601503759398,21.0,,,0.08270676691729323
California,2020,6,A,208,334.6620192307692,35.0,,,0.2692307692307692
California,2020,7,A,878,347.39555808656036,70.15,,,0.42369020501138954
California,2020,8,A,8997,346.5526953428921,62.8,,,0.4395909747693676
California,2020,9,A,21444,347.66752471553815,66.9,,,0.5261145308711062
California,2020,10,A,3387,336.70956598759966,44.9,,,0.4656037791555949
California,2020,11,A,575,324.58382608695655,23.8,,,0.14782608695652175
California,2020,12,A,334,322.364371257485,23.25,,,0.0688622754491018
California,2021,1,A,237,320.14599156118146,19.3,,,0.03375527426160337
California,2021,2,A,333,318.15555555555557,15.1,,,0.03303303303303303
California,2021,3,A,545,321.70587155963307,18.3,,,0.05871559633027523
California,2021,4,A,345,326.6394202898551,21.8,,,0.014492753623188406
California,2021,5,A,163,331.8687116564417,28.9,,,0.15950920245398773
California,2021,6,A,486,350.5261316872428,73.75,,,0.44650205761316875
California,2021,7,A,4605,352.4536373507058,81.0,,,0.5192182410423453
California,2021,8,A,18723,348.33021417507877,65.2,,,0.5177589061582012
California,2021,9,A,7260,344.8537465564739,57.9,,,0.5139118457300276
California,2021,10,A,1108,341.91669675090253,53.55,,,0.5144404332129964
California,2021,11,A,271,317.23247232472323,17.6,,,0.03690036900369004
California,2021,12,A,158,318.92215189873417,25.05,,,0.006329113924050633
California,2022,1,A,190,318.9431578947368,19.15,,,0.08947368421052632
California,2022,2,A,482,320.69834024896267,19.950000000000003,,,0.05394190871369295
California,2022,3,A,354,324.09067796610174,20.75,,,0.022598870056497175
California,2022,4,A,61,324.9393442622951,15.9,,,0.01639344262295082
California,2022,5,A,213,339.69389671361506,42.4,,,0.18309859154929578
California,2022,6,A,165,335.1569696969697,36.1,,,0.3333333333333333
California,2022,7,A,786,349.94961832061074,91.7,,,0.544529262086514
California,2022,8,A,672,330.83809523809526,28.45,,,0.5223214285714286
California,2022,9,A,1575,343.3854603174603,54.9,,,0.5415873015873016
California,2022,10,A,269,328.6457249070632,26.6,,,0.04460966542750929
California,2022,11,A,228,317.72982456140346,19.049999999999997,,,0.013157894736842105
California,2022,12,A,60,313.65333333333336,17.6,,,0.08333333333333333
California,2023,1,A,67,313.4761194029851,13.2,,,0.0
California,2023,2,A,191,317.96701570680625,18.5,,,0.041884816753926704
California,2023,3,A,72,316.71944444444443,12.5,,,0.013888888888888888
California,2023,4,A,281,321.18185053380785,15.4,,,0.021352313167259787
California,2023,5,A,179,328.0301675977654,23.9,,,0.0335195530726257
California,2023,6,A,257,332.22062256809335,28.9,,,0.09727626459143969
California,2023,7,A,427,345.70866510538644,57.2,,,0.3161592505854801
California,2023,8,A,1419,333.96856941508105,40.0,,,0.45525017618040875
California,2023,9,A,696,327.1021551724138,28.65,,,0.40660919540229884
California,2023,10,A,727,327.42654745529575,27.8,,,0.14030261348005502
California,2023,11,A,495,321.22080808080807,26.3,,,0.06262626262626263
California,2023,12,A,237,321.3261603375528,24.2,,,0.05907172995780591
California,2024,1,A,77,320.19740259740263,25.6,,,0.06493506493506493
California,2024,2,A,42,312.09761904761905,14.05,,,0.07142857142857142
California,2024,3,A,173,315.0121387283237,13.9,,,0.011560693641618497
California,2024,4,A,198,320.80151515151516,15.05,,,0.03535353535353535
California,2024,5,A,190,330.42105263157896,27.75,,,0.09473684210526316
California,2024,6,A,632,339.95427215189875,53.2,,,0.47943037974683544
California,2024,7,A,3914,353.37317322432295,77.94999999999999,,,0.5370464997445069
California,2024,8,A,1001,342.57342657342656,55.8,,,0.5144855144855145
California,2024,9,A,1110,347.1601801801802,65.0,,,0.44594594594594594
California,2024,10,A,529,326.68071833648395,26.7,,,0.2381852551984877
California,2024,11,A,397,325.4115869017632,27.0,,,0.10327455919395466
California,2024,12,A,108,321.30462962962963,24.85,,,0.18518518518518517
California,2025,1,A,654,347.1136085626911,73.85,,,0.36085626911314983
California,2025,2,A,89,316.5033707865168,13.8,,,0.011235955056179775
